Season,Club,MP,W,D,L,GF,GA,GD,Pts,Total Comp.,Total Att, Short Cmp%,TotDist,PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,KP,Ent. Final Third,Ent. Opposing PA,Cross into PA,Prog 10+ yards
2017/18,Alavés,38,15,2,21,40,50,-10,47,9346,13461,69.4,190290,78386,3814,4784,79.7,3832,5009,76.5,1581,3252,48.6,266,817,193,72,899
2017/18,Athletic Club,38,10,13,15,41,49,-8,43,12708,17079,74.4,271525,97224,4455,5570,80,5756,7019,82,2390,4088,58.5,315,1188,313,105,1247
2017/18,Atlético Madrid,38,23,10,5,58,22,36,79,14162,18218,77.7,263545,94131,6334,7435,85.2,5786,6937,83.4,1839,3341,55,298,1153,271,43,1296
2017/18,Barcelona,38,28,9,1,99,29,70,93,21306,24812,85.9,389761,119736,9338,10408,89.7,9224,10257,89.9,2512,3543,70.9,418,1723,513,49,1844
2017/18,Betis,38,18,6,14,60,61,-1,60,17395,21045,82.7,339463,103592,6739,7725,87.2,8207,9279,88.4,2330,3674,63.4,310,1235,249,59,1246
2017/18,Celta Vigo,38,13,10,15,59,60,-1,49,16520,20569,80.3,330795,106276,5998,7054,85,7939,9074,87.5,2436,4036,60.4,316,1226,320,90,1379
2017/18,Eibar,38,14,9,15,44,50,-6,51,12513,17675,70.8,277032,96657,4323,5538,78.1,5399,6846,78.9,2667,4859,54.9,335,1260,281,125,1211
2017/18,Espanyol,38,12,13,13,36,42,-6,49,12349,16797,73.5,245088,86586,5006,6135,81.6,5311,6486,81.9,1921,3763,51,294,980,238,93,1055
2017/18,Getafe,38,15,10,13,42,33,9,55,8463,13094,64.6,179015,77315,3411,4490,76,3254,4526,71.9,1651,3631,45.5,256,840,278,68,986
2017/18,Girona,38,14,9,15,50,59,-9,51,11412,15587,73.2,243544,86965,4161,5151,80.8,4927,6075,81.1,2214,4022,55,327,995,249,110,1050
2017/18,La Coruña,38,6,11,21,38,76,-38,29,12284,16487,74.5,245888,89568,4931,6008,82.1,5316,6586,80.7,1942,3567,54.4,328,1049,288,90,1199
2017/18,Las Palmas,38,5,7,26,24,74,-50,22,15166,19085,79.5,285286,97820,6557,7629,85.9,6486,7627,85,1951,3379,57.7,291,1034,266,69,1166
2017/18,Leganés,38,12,7,19,34,51,-17,43,10185,14621,69.7,205502,83983,4261,5354,79.6,4138,5326,77.7,1677,3553,47.2,289,894,203,80,974
2017/18,Levante,38,11,13,14,44,58,-14,46,10471,14379,72.8,212600,85930,4202,5200,80.8,4451,5559,80.1,1725,3274,52.7,302,948,304,93,1119
2017/18,Málaga,38,5,5,28,24,61,-37,20,11168,15504,72,227163,89132,4493,5531,81.2,4667,5910,79,1867,3632,51.4,280,932,221,88,989
2017/18,Real Madrid,38,22,10,6,94,44,50,76,20155,23619,85.3,374486,116892,9116,10074,90.5,8225,9247,88.9,2602,3794,68.6,555,1749,548,140,1779
2017/18,Real Sociedad,38,14,7,17,66,59,7,49,16400,20209,81.2,327792,104640,6001,6961,86.2,7773,8883,87.5,2472,3922,63,379,1293,338,111,1321
2017/18,Sevilla,38,17,7,14,49,58,-9,58,15762,19975,78.9,297658,105802,6596,7749,85.1,7098,8387,84.6,1934,3392,57,392,1312,358,75,1590
2017/18,Valencia,38,22,7,9,65,38,27,73,13770,17463,78.9,276409,96267,5082,6081,83.6,6592,7701,85.6,1975,3340,59.1,353,1186,318,72,1376
2017/18,Villarreal,38,18,7,13,57,50,7,61,14504,18331,79.1,283573,98822,5742,6741,85.2,6539,7727,84.6,2098,3491,60.1,374,1099,251,74,1233
2018/19,Alavés,38,13,11,14,39,50,-11,50,9814,13919,70.5,203510,87703,3918,4754,82.4,3904,4959,78.7,1809,3675,49.2,272,831,226,104,961
2018/19,Athletic Club,38,13,14,11,41,45,-4,53,13267,17393,76.3,271102,100295,5334,6233,85.6,5559,6686,83.1,2210,3936,56.1,273,1100,302,95,1165
2018/19,Atlético Madrid,38,22,10,6,55,29,26,76,15143,19034,79.6,276009,98528,7207,8124,88.7,5778,6870,84.1,1899,3411,55.7,339,1245,342,61,1297
2018/19,Barcelona,38,26,9,3,90,36,54,87,23464,26734,87.8,421072,125653,10749,11665,92.1,9736,10752,90.6,2644,3568,74.1,410,1779,479,60,1727
2018/19,Betis,38,14,8,16,44,52,-8,50,19506,22819,85.5,366265,110101,8079,8864,91.1,8826,9762,90.4,2367,3591,65.9,320,1241,346,64,1294
2018/19,Celta Vigo,38,10,11,17,53,62,-9,41,15122,18785,80.5,294087,99004,6108,6921,88.3,6636,7609,87.2,2143,3674,58.3,328,1016,280,68,1090
2018/19,Eibar,38,11,14,13,46,50,-4,47,13129,18279,71.8,283897,103336,4739,5767,82.2,5579,6972,80,2657,4937,53.8,363,1357,382,149,1374
2018/19,Espanyol,38,14,11,13,48,50,-2,53,13998,17703,79.1,280592,99487,5383,6192,86.9,6217,7297,85.2,2212,3658,60.5,316,1038,341,73,1279
2018/19,Getafe,38,15,14,9,48,35,13,59,8264,12884,64.1,181561,82891,3197,4141,77.2,3118,4339,71.9,1782,3797,46.9,272,810,282,81,1031
2018/19,Girona,38,9,10,19,37,53,-16,37,13258,17104,77.5,276484,96684,4660,5377,86.7,6176,7242,85.3,2268,4018,56.4,276,917,272,96,1125
2018/19,Huesca,38,7,12,19,43,65,-22,33,10778,14817,72.7,218839,88242,4464,5301,84.2,4264,5339,79.9,1871,3660,51.1,321,858,269,107,998
2018/19,Leganés,38,11,12,15,37,43,-6,45,10787,15033,71.8,224396,88505,4324,5169,83.7,4325,5436,79.6,1958,3899,50.2,299,856,244,128,927
2018/19,Levante,38,11,11,16,59,66,-7,44,10953,14737,74.3,215012,85727,4683,5481,85.4,4355,5301,82.2,1746,3427,50.9,293,895,280,72,1122
2018/19,Rayo Vallecano,38,8,8,22,41,70,-29,32,12606,16257,77.5,251724,92793,5144,5907,87.1,5291,6279,84.3,1990,3529,56.4,323,925,237,85,1016
2018/19,Real Madrid,38,21,5,12,63,46,17,68,20684,24065,86,386680,117086,9457,10282,92,7949,8848,89.8,2972,4176,71.2,447,1559,431,97,1508
2018/19,Real Sociedad,38,13,11,14,45,46,-1,50,14700,18446,79.7,292992,96357,5605,6416,87.4,6682,7697,86.8,2244,3762,59.6,302,991,280,95,1135
2018/19,Sevilla,38,17,8,13,62,47,15,59,14612,18654,78.3,285396,100487,6128,7007,87.5,6063,7134,85,2207,3858,57.2,371,1124,413,123,1415
2018/19,Valencia,38,15,16,7,51,35,16,61,13821,17600,78.5,276786,100037,5395,6227,86.6,6144,7199,85.3,2141,3647,58.7,358,1148,353,97,1382
2018/19,Valladolid,38,10,11,17,32,51,-19,41,12149,16171,75.1,246384,87862,4704,5448,86.3,5284,6263,84.4,1980,3906,50.7,290,939,220,72,1048
2018/19,Villarreal,38,10,14,14,49,52,-3,44,13853,17509,79.1,280991,99711,5315,6112,87,6130,7155,85.7,2260,3754,60.2,356,1194,312,74,1338
2019/20,Alavés,38,10,9,19,34,59,-25,39,9724,13753,70.7,207059,86512,3828,4695,81.5,3894,4960,78.5,1814,3529,51.4,220,751,177,50,858
2019/20,Athletic Club,38,13,12,13,41,38,3,51,12589,16607,75.8,263278,92587,4837,5640,85.8,5222,6296,82.9,2312,4050,57.1,274,929,223,80,1028
2019/20,Atlético Madrid,38,18,16,4,51,27,24,70,13709,17595,77.9,257089,96920,6091,6947,87.7,5362,6383,84,1871,3468,54,329,1037,302,59,1287
2019/20,Barcelona,38,25,7,6,86,38,48,82,24981,28212,88.5,447366,126905,11376,12316,92.4,10305,11200,92,2786,3644,76.5,383,1884,439,51,1665
