Season,Club,MP,W,D,L,GF,GA,GD,Pts,Total_Comp,Total_Att, Total_Cmp_Pct,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp_Pct,Medium Cmp,Medium_Att,Medium_Cmp_Pct,Long_Cmp,Long_Att,Long_Cmp_Pct,KP,Ent_Final_Third,Ent_Opposing_PA,Cross_into_PA,Prog_10_plus_yards
2017/18,Amiens,38,12,9,17,37,42,-5,45,10940,15245,71.8,215927,88753,4274,5201,82.2,4729,5947,79.5,1663,3407,48.8,261,860,176,54,1050
2017/18,Angers,38,9,14,15,42,52,-10,41,12407,16446,75.4,242773,93492,4953,5833,84.9,5356,6479,82.7,1877,3467,54.1,343,1000,235,63,1213
2017/18,Bordeaux,38,16,7,15,53,48,5,55,14055,17958,78.3,271257,94855,5809,6727,86.4,6008,7107,84.5,2008,3485,57.6,365,1114,313,94,1303
2017/18,Caen,38,10,8,20,27,52,-25,38,11292,15797,71.5,242060,97134,3990,5001,79.8,4820,6061,79.5,2241,4021,55.7,349,1124,229,111,1225
2017/18,Dijon,38,13,9,16,55,73,-18,48,12787,16820,76,271545,96045,4482,5372,83.4,5675,6740,84.2,2417,4112,58.8,322,1028,281,87,1159
2017/18,Guingamp,38,12,11,15,48,59,-11,47,13225,17284,76.5,252402,94274,5457,6412,85.1,5489,6662,82.4,1940,3469,55.9,307,1085,238,83,1212
2017/18,Lille,38,10,8,20,41,67,-26,38,15564,19286,80.7,295958,102883,6199,7117,87.1,6881,7911,87,2129,3476,61.2,354,1220,251,68,1411
2017/18,Lyon,38,23,9,6,87,43,44,78,16846,20273,83.1,323840,102526,6619,7500,88.3,7302,8261,88.4,2523,3660,68.9,423,1278,290,78,1373
2017/18,Marseille,38,22,11,5,80,47,33,77,16580,20412,81.2,311663,105583,7041,7926,88.8,6937,8058,86.1,2252,3686,61.1,447,1241,328,129,1411
2017/18,Metz,38,6,8,24,34,76,-42,26,12161,16352,74.4,251976,94083,4407,5267,83.7,5327,6501,81.9,2176,3924,55.5,339,1111,242,97,1207
2017/18,Monaco,38,24,8,6,85,45,40,80,13858,17911,77.4,274468,94915,5150,6044,85.2,6341,7531,84.2,2105,3645,57.8,352,1225,287,72,1388
2017/18,Montpellier,38,11,18,9,36,33,3,51,13023,17141,76,268322,100006,4886,5740,85.1,5444,6621,82.2,2420,4095,59.1,375,1176,267,92,1302
2017/18,Nantes,38,14,10,14,36,41,-5,52,11474,15828,72.5,220625,91826,4868,5854,83.2,4554,5718,79.6,1765,3538,49.9,356,1023,278,108,1172
2017/18,Nice,38,15,9,14,53,52,1,54,19266,22513,85.6,360758,109677,8028,8849,90.7,8419,9314,90.4,2473,3606,68.6,364,1345,222,57,1338
2017/18,Paris S-G,38,29,6,3,108,29,79,93,22005,25194,87.3,385886,118894,10044,10973,91.5,9077,10013,90.7,2354,3237,72.7,463,1696,493,82,1854
2017/18,Rennes,38,16,10,12,50,44,6,58,13282,17389,76.4,266285,92182,4988,5880,84.8,5840,6952,84,2159,3862,55.9,327,1180,206,67,1272
2017/18,Saint-Etienne,38,15,10,13,47,50,-3,55,14310,18272,78.3,280924,95924,5402,6348,85.1,6387,7458,85.6,2195,3697,59.4,325,1129,249,69,1218
2017/18,Strasbourg,38,9,11,18,44,67,-23,38,12322,16465,74.8,256401,92210,4469,5312,84.1,5255,6321,83.1,2358,4148,56.8,309,950,252,90,1120
2017/18,Toulouse,38,9,10,19,38,54,-16,37,10831,15139,71.5,221452,92052,4072,5044,80.7,4582,5767,79.5,1898,3595,52.8,301,1127,236,112,1134
2017/18,Troyes,38,9,6,23,32,59,-27,33,11486,15719,73.1,227045,86974,4545,5509,82.5,4696,5836,80.5,1950,3606,54.1,266,969,234,81,1120
2018/19,Amiens,38,9,11,18,31,52,-21,38,12031,16181,74.4,242601,93263,4758,5661,84,5114,6280,81.4,1988,3729,53.3,282,977,207,59,1132
2018/19,Angers,38,10,16,12,44,49,-5,46,13020,16742,77.8,252877,98043,5367,6212,86.4,5615,6727,83.5,1876,3329,56.4,335,917,260,59,1161
2018/19,Bordeaux,38,10,11,17,34,42,-8,41,14650,18550,79,282828,102206,6156,7141,86.2,6229,7288,85.5,2066,3564,58,330,1025,223,65,1210
2018/19,Caen,38,7,12,19,29,54,-25,33,11523,15493,74.4,242531,91076,4423,5242,84.4,4689,5697,82.3,2221,4052,54.8,213,741,150,63,861
2018/19,Dijon,38,9,7,22,31,60,-29,34,13058,16945,77.1,269514,96972,4861,5697,85.3,5821,6882,84.6,2201,3848,57.2,316,1024,280,75,1145
2018/19,Guingamp,38,5,12,21,28,68,-40,27,11408,15709,72.6,232274,92350,4484,5481,81.8,4941,6208,79.6,1839,3516,52.3,304,994,225,79,1134
2018/19,Lille,38,22,9,7,68,33,35,75,14573,18207,80,283938,95780,5827,6690,87.1,6430,7408,86.8,2122,3575,59.4,374,1224,268,74,1294
2018/19,Lyon,38,21,9,8,70,47,23,72,19060,22496,84.7,367137,116202,7634,8571,89.1,8451,9430,89.6,2738,3876,70.6,496,1581,381,102,1745
2018/19,Marseille,38,18,7,13,60,52,8,61,16031,19932,80.4,302991,104493,6969,7901,88.2,6651,7667,86.7,2210,3756,58.8,386,1098,307,118,1282
2018/19,Monaco,38,8,12,18,38,57,-19,36,14093,17930,78.6,280928,97059,5245,6182,84.8,6605,7703,85.7,2088,3526,59.2,329,1102,283,84,1419
2018/19,Montpellier,38,15,14,9,53,42,11,59,13580,17663,76.9,279951,105472,5290,6242,84.7,5652,6763,83.6,2459,4113,59.8,371,1092,269,97,1264
2018/19,Nantes,38,13,9,16,48,48,0,48,13301,17605,75.6,261991,103216,5378,6418,83.8,5732,6928,82.7,1999,3671,54.5,372,1123,279,97,1330
2018/19,Nice,38,15,11,12,30,35,-5,56,17888,21069,84.9,342827,108024,7172,7961,90.1,8194,9023,90.8,2331,3573,65.2,332,1067,172,58,1152
2018/19,Nimes,38,15,8,15,57,58,-1,53,11435,15518,73.7,228644,88474,4826,5766,83.7,4585,5624,81.5,1860,3611,51.5,374,962,229,67,1093
2018/19,Paris S-G,38,29,4,5,105,35,70,91,21972,25097,87.5,390714,125835,10039,10985,91.4,9413,10320,91.2,2258,3178,71.1,421,1847,496,63,1958
2018/19,Reims,38,13,16,9,39,42,-3,55,11618,15559,74.7,242203,91481,4343,5253,82.7,5083,6163,82.5,2071,3672,56.4,291,855,230,64,1085
2018/19,Rennes,38,13,13,12,55,52,3,52,14207,17791,79.9,285171,96509,5536,6357,87.1,6172,7121,86.7,2301,3745,61.4,326,1045,281,79,1267
2018/19,Saint-Etienne,38,19,9,10,59,41,18,66,15174,19136,79.3,300912,102926,5853,6733,86.9,6803,7862,86.5,2318,3962,58.5,353,1055,285,91,1256
2018/19,Strasbourg,38,11,16,11,58,48,10,49,14802,18663,79.3,309286,104043,5527,6442,85.8,6324,7309,86.5,2741,4330,63.3,312,1110,269,91,1272
