Season,Club,MP,W,D,L,GF,GA,GD,Pts,Total_Comp,Total_Att, Total_Cmp_Pct,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp_Pct,Medium Cmp,Medium_Att,Medium_Cmp_Pct,Long_Cmp,Long_Att,Long_Cmp_Pct,KP,Ent_Final_Third,Ent_Opposing_PA,Cross_into_PA,Prog_10_plus_yards
2017/18,Arsenal,38,19,6,13,74,51,23,63,20840,24882,83.8,395177,124259,8619,9665,89.2,9006,10136,88.9,2778,4170,66.6,433,1629,506,62,1887
2017/18,Bournemouth,38,11,11,16,45,61,-16,44,13512,17678,76.4,263584,93887,5591,6479,86.3,5709,6862,83.2,1973,3640,54.2,350,965,302,75,1232
2017/18,Brighton,38,9,13,16,34,54,-20,40,11951,16139,74.1,254240,92935,4546,5388,84.4,4821,5896,81.8,2344,4203,55.8,278,852,196,69,984
2017/18,Burnley,38,14,12,12,36,39,-3,54,10495,14963,70.1,228173,92908,3995,4785,83.5,4315,5458,79.1,2021,4218,47.9,281,893,230,88,953
2017/18,Chelsea,38,21,7,10,62,38,24,70,18953,22867,82.9,370425,117264,7455,8393,88.8,8447,9527,88.7,2709,4113,65.9,472,1419,417,79,1673
2017/18,Crystal Palace,38,11,11,16,45,55,-10,44,11832,15897,74.4,233904,94240,4990,5765,86.6,4705,5758,81.7,1827,3629,50.3,319,974,289,64,1158
2017/18,Everton,38,13,10,15,44,58,-14,49,11989,16282,73.6,245285,92141,4810,5625,85.5,4871,5918,82.3,2018,4013,50.3,264,994,223,77,1037
2017/18,Huddersfield,38,9,10,19,28,58,-30,37,12081,16536,73.1,242916,91366,5040,5931,85,4761,6010,79.2,2025,3881,52.2,243,866,181,72,942
2017/18,Leicester City,38,12,11,15,56,60,-4,47,12332,16782,73.5,253307,93951,4962,5897,84.1,4916,6047,81.3,2180,4148,52.6,284,977,229,73,1072
2017/18,Liverpool,38,21,12,5,84,38,46,75,20257,24345,83.2,396366,123737,7654,8545,89.6,9443,10597,89.1,2824,4424,63.8,472,1645,503,82,1909
2017/18,Manchester City,38,32,4,2,106,27,79,100,26108,29601,88.2,475042,134087,11659,12598,92.5,11195,12258,91.3,2899,3964,73.1,494,1992,538,69,2012
2017/18,Manchester Utd,38,25,6,7,68,28,40,81,17775,21650,82.1,329922,107293,8100,8949,90.5,6812,7836,86.9,2412,3993,60.4,369,1234,369,86,1409
2017/18,Newcastle Utd,38,12,8,18,39,47,-8,44,11037,15257,72.3,220284,89385,4737,5597,84.6,4225,5304,79.7,1822,3706,49.2,310,858,238,80,990
2017/18,Southampton,38,7,15,16,37,56,-19,36,14319,18666,76.7,278561,95547,6134,6987,87.8,5879,7014,83.8,2064,3988,51.8,333,1131,291,87,1286
2017/18,Stoke City,38,7,12,19,35,68,-33,33,10142,14374,70.6,215523,92754,4011,4890,82,4072,5175,78.7,1872,3761,49.8,276,923,233,58,997
2017/18,Swansea City,38,8,9,21,28,56,-28,33,13270,17180,77.2,266786,92897,5559,6291,88.4,5174,6179,83.7,2272,4038,56.3,212,942,207,55,1012
2017/18,Tottenham,38,23,8,7,74,36,38,77,19287,23469,82.2,379549,121395,7446,8402,88.6,8701,9964,87.3,2837,4366,65,449,1622,395,73,1837
2017/18,Watford,38,11,8,19,44,64,-20,41,12739,17186,74.1,251725,95672,5511,6411,86,4946,6188,79.9,2038,3871,52.6,298,1032,293,82,1186
2017/18,West Brom,38,6,13,19,31,56,-25,31,10478,14714,71.2,220234,91326,4163,4923,84.6,4197,5231,80.2,1915,3958,48.4,262,924,235,107,972
2017/18,West Ham,38,10,12,16,48,68,-20,42,11768,15935,73.9,231667,87798,5213,5997,86.9,4409,5433,81.2,1884,3829,49.2,268,879,230,75,960
2018/19,Arsenal,38,21,7,10,73,51,22,70,18313,22178,82.6,350915,109823,7357,8259,89.1,8113,9173,88.4,2530,3943,64.2,361,1242,430,75,1543
2018/19,Bournemouth,38,13,6,19,56,70,-14,45,13480,17433,77.3,264047,97476,5361,6307,85,5979,7090,84.3,1942,3395,57.2,317,985,348,78,1277
2018/19,Brighton,38,9,9,20,35,60,-25,36,11586,15704,73.8,246203,90785,4343,5178,83.9,4761,5856,81.3,2233,4021,55.5,281,894,218,81,918
2018/19,Burnley,38,11,7,20,45,68,-23,40,10157,14609,69.5,216618,89101,4071,4922,82.7,3901,5002,78,2005,4136,48.5,245,898,251,82,957
2018/19,Cardiff City,38,10,4,24,34,69,-35,34,7220,11620,62.1,154563,71373,2988,3863,77.3,2661,3735,71.2,1452,3545,41,265,752,188,61,791
2018/19,Chelsea,38,21,9,8,63,39,24,72,22838,26480,86.2,413751,126026,10389,11414,91,9357,10441,89.6,2722,3838,70.9,467,1770,455,78,1826
2018/19,Crystal Palace,38,14,7,17,51,53,-2,49,12739,16642,76.5,237901,93058,5740,6621,86.7,5018,5988,83.8,1729,3350,51.6,348,991,294,67,1222
2018/19,Everton,38,15,9,14,54,46,8,54,13829,18085,76.5,277190,100524,5559,6521,85.2,5827,6982,83.5,2243,3933,57,335,1168,296,89,1334
2018/19,Fulham,38,7,5,26,34,81,-47,26,15179,19223,79,289628,104263,6546,7392,88.6,6399,7490,85.4,1987,3704,53.6,333,1050,244,56,1190
2018/19,Huddersfield,38,3,7,28,22,76,-54,16,13030,17503,74.4,261912,98395,5339,6320,84.5,5341,6570,81.3,2170,3977,54.6,282,1022,239,96,1087
2018/19,Leicester City,38,15,7,16,51,48,3,52,14787,19012,77.8,292835,100103,6038,7009,86.1,6181,7422,83.3,2330,3904,59.7,365,1161,279,72,1278
