Season,Club,MP,W,D,L,GF,GA,GD,Pts,Total_Comp,Total_Att, Total_Cmp_Pct,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp_Pct,Medium Cmp,Medium_Att,Medium_Cmp_Pct,Long_Cmp,Long_Att,Long_Cmp_Pct,KP,Ent_Final_Third,Ent_Opposing_PA,Cross_into_PA,Prog_10_plus_yards
2017/18,Atalanta,38,16,12,10,57,39,18,60,16813,20966,80.2,337538,111390,6204,7232,85.8,7730,9016,85.7,2645,4112,64.3,435,1376,464,93,1700
2017/18,Benevento,38,6,3,29,33,84,-51,21,14168,17812,79.5,279120,92879,5628,6423,87.6,6292,7265,86.6,2098,3659,57.3,339,937,213,76,1040
2017/18,Bologna,38,11,6,21,40,52,-12,39,13638,17602,77.5,276434,100889,5351,6247,85.7,5733,6803,84.3,2324,3954,58.8,239,964,247,60,1136
2017/18,Cagliari,38,11,6,21,33,61,-28,39,12167,16636,73.1,245407,93621,4898,5855,83.7,5025,6342,79.2,2035,3899,52.2,267,989,278,101,1115
2017/18,Chievo,38,10,10,18,36,59,-23,40,12575,16824,74.7,255651,94911,4867,5752,84.6,5375,6544,82.1,2189,4056,54,299,960,310,111,1226
2017/18,Crotone,38,9,8,21,40,66,-26,35,10311,14840,69.5,208395,86869,4019,5025,80,4464,5706,78.2,1656,3558,46.5,256,884,234,74,1111
2017/18,Fiorentina,38,16,9,13,54,46,8,57,15290,19375,78.9,300312,104764,5672,6639,85.4,7266,8405,86.4,2158,3796,56.8,463,1200,350,96,1503
2017/18,Genoa,38,11,8,19,33,43,-10,41,13218,17522,75.4,263512,94545,5238,6195,84.6,5762,6935,83.1,2047,3869,52.9,313,992,306,79,1264
2017/18,Hellas Verona,38,7,4,27,30,78,-48,25,11493,15515,74.1,233720,85245,4685,5591,83.8,4661,5722,81.5,1959,3679,53.2,237,763,192,64,944
2017/18,Inter,38,20,12,6,66,30,36,72,18750,22639,82.8,348644,115080,8128,9077,89.5,7957,9135,87.1,2405,3811,63.1,448,1423,388,120,1488
2017/18,Juventus,38,30,5,3,86,24,62,95,20058,23398,85.7,408358,115305,7245,8105,89.4,9361,10334,90.6,3262,4447,73.4,410,1429,340,110,1466
2017/18,Lazio,38,21,9,8,89,49,40,72,16308,20211,80.7,317283,110399,6506,7524,86.5,7166,8276,86.6,2376,3758,63.2,438,1393,397,89,1643
2017/18,Milan,38,18,10,10,56,42,14,64,17744,21543,82.4,350431,112992,6839,7723,88.6,8115,9226,88,2626,4110,63.9,458,1456,380,114,1593
2017/18,Napoli,38,28,7,3,77,29,48,91,24985,29004,86.1,425699,132297,12878,14051,91.7,9018,10227,88.2,2679,3945,67.9,526,2095,465,85,2068
2017/18,Roma,38,23,8,7,61,28,33,77,17296,21399,80.8,346453,119630,6494,7521,86.3,7857,9059,86.7,2769,4306,64.3,492,1581,444,138,1812
2017/18,Sampdoria,38,16,6,16,56,60,-4,54,16148,20144,80.2,300242,103556,6985,7924,88.1,6817,7916,86.1,2062,3673,56.1,317,1183,345,67,1496
2017/18,Sassuolo,38,11,10,17,29,59,-30,43,11497,15749,73,237238,92359,4326,5256,82.3,4939,6124,80.6,2049,3852,53.2,360,1039,258,92,1242
2017/18,SPAL,38,8,14,16,39,59,-20,38,12214,16025,76.2,244256,85676,4790,5578,85.9,5274,6290,83.8,1957,3620,54.1,248,852,216,65,1051
2017/18,Torino,38,13,15,10,54,46,8,54,14425,18316,78.8,285051,97128,5647,6531,86.5,6306,7434,84.8,2235,3723,60,341,971,307,75,1214
2017/18,Udinese,38,12,4,22,48,63,-15,40,12619,16647,75.8,257575,94228,4682,5536,84.6,5694,6838,83.3,2113,3824,55.3,333,927,265,79,1193
2018/19,Atalanta,38,20,9,9,77,46,31,69,18178,22052,82.4,345298,110648,7446,8452,88.1,8140,9284,87.7,2343,3658,64.1,493,1326,474,100,1690
2018/19,Bologna,38,11,11,16,48,56,-8,44,12116,16034,75.6,244448,93105,4699,5479,85.8,5218,6375,81.9,2021,3599,56.2,344,970,265,90,1179
2018/19,Cagliari,38,10,11,17,36,54,-18,41,14565,18873,77.2,286422,107492,6080,6993,86.9,5912,7115,83.1,2332,4103,56.8,305,1006,310,87,1238
2018/19,Chievo,38,2,14,22,25,75,-50,17,12555,16534,75.9,256489,95611,4731,5522,85.7,5503,6641,82.9,2158,3831,56.3,284,908,253,101,1082
2018/19,Empoli,38,10,8,20,51,70,-19,38,14685,18406,79.8,291865,99453,5623,6392,88,6660,7731,86.1,2234,3739,59.7,323,1207,340,63,1389
2018/19,Fiorentina,38,8,17,13,47,45,2,41,13356,17251,77.4,273975,93697,4655,5517,84.4,6388,7498,85.2,2159,3752,57.5,425,1092,312,89,1374
2018/19,Frosinone,38,5,10,23,29,69,-40,25,11524,15516,74.3,231244,86911,4456,5238,85.1,5035,6053,83.2,1856,3665,50.6,310,788,249,124,991
2018/19,Genoa,38,8,14,16,39,57,-18,38,11178,15296,73.1,228852,87714,4358,5182,84.1,4764,5839,81.6,1905,3784,50.3,365,986,330,96,1163
2018/19,Inter,38,20,9,9,57,33,24,69,19563,23416,83.5,377107,119430,7869,8736,90.1,8683,9880,87.9,2777,4171,66.6,471,1487,451,160,1596
2018/19,Juventus,38,28,6,4,70,30,40,90,18393,21842,84.2,371028,109670,7003,7778,90,8243,9197,89.6,2976,4328,68.8,453,1427,397,125,1431
2018/19,Lazio,38,17,8,13,56,46,10,59,15879,19761,80.4,301275,105137,6814,7747,88,6546,7692,85.1,2250,3655,61.6,465,1305,415,90,1596
2018/19,Milan,38,19,11,8,55,36,19,68,17532,20973,83.6,341010,110685,6891,7627,90.4,8042,9020,89.2,2414,3785,63.8,445,1318,383,103,1477
2018/19,Napoli,38,24,7,7,74,36,38,79,21121,24768,85.3,395686,119057,9236,10175,90.8,8828,9808,90,2802,4160,67.4,554,1773,442,91,1834
2018/19,Parma,38,10,11,17,41,61,-20,41,9996,13626,73.4,211889,84907,3681,4382,84,4286,5259,81.5,1892,3491,54.2,235,775,178,44,935
